Битола	Уп I бр.29-753/15	"ДПТУ ""КАРАЧИ увоз-извоз с.Сопотница Демир Хисар ДООЕЛ""с. Сопотница Демир Хисар"	(41.0316005, 21.3302511)	41.0316005	21.3302511
Куманово	29-9601/3	"ДПТУ„ВИНАРИЈА ТРИЧКОВИЌ„ ДООЕЛ Куманово"	(46.3144754, 11.0480288)	46.3144754	11.0480288
Неготино	08-5888/2	ДПТУ" ВИНАРИЈА САРАФОВ" ДООЕЛ	(41.4832929, 22.0879051)	41.4832929	22.0879051
Неготино	"08-5552/2 29-5733/2"	ДПТУ "ДУДИН " ДООЕЛ	(46.3144754, 11.0480288)	46.3144754	11.0480288
Неготино	08-5615/2	ДПП "БОВИН"ДООЕЛ	(46.3144754, 11.0480288)	46.3144754	11.0480288
Неготино	08-5704/3	ДПТУ "ЗОИ -Унион" ДОО Кавадарци	(46.3144754, 11.0480288)	46.3144754	11.0480288
Неготино	"08-5810/2 Уп I бр. 29-515/14"	" ВЕНЕЦ "АД	(46.3144754, 11.0480288)	46.3144754	11.0480288
Неготино	08-5504/2	ДПТУ "ПИВКА 2002"-ДОО	(46.3144754, 11.0480288)	46.3144754	11.0480288
Неготино	08-6002/3	ДПУТ Вардарска Долина Андон ДООЕЛ експорт-импорт с.Курија Неготино	(46.3144754, 11.0480288)	46.3144754	11.0480288
Неготино	"29-6246/2 Уп I бр.29-1301/15"	ДПТУ Антигона Парк ДООЕЛ Подружница бр.3 винарија Антигона, Неготино	(46.3144754, 11.0480288)	46.3144754	11.0480288
Неготино	29-18369/2	ДПТ на вино,ракија,оцет и останати алкохолни и безалкохолни пијалоци ЛЕПОВО ДООЕЛ Скопје	(46.3144754, 11.0480288)	46.3144754	11.0480288
Неготино	Уп I бр.29-1398/15	"Друштво за производтство,трговија и услуги ВИНАРИЈА РИСТОВ ДООЕЛ увоз-извоз Неготино"	(46.3144754, 11.0480288)	46.3144754	11.0480288
Неготино	Уп I бр.16-1384/16	Друштво за производство на вино и пијалоци Пуклавец & Пријатели експорт- импорт ДООЕЛ	(46.3144754, 11.0480288)	46.3144754	11.0480288
Охрид	"08-5789/229-6036/2 Уп I бр.29-541/14 Уп I бр.16-501/17"	ТДПТУ "Винарија Охрид" Доо	(41.1170203, 20.8017387)	41.1170203	20.8017387
Охрид	Уп I бр.16-313/16	Будимир Соколовиќ	(46.3144754, 11.0480288)	46.3144754	11.0480288
Прилеп	08-5903/2	ТД "ПИРГАН" ДООЕЛ	(41.3444984, 21.5527115)	41.3444984	21.5527115
Радовиш	"29-12801/3 Уп I бр.29-756/14"	ДПУТ увоз-извоз ВИНАСА ДОО	(41.639832, 22.4645893)	41.639832	22.4645893
Свети Николе "29-8770/229-5962/3 Уп I бр.16-1473/16 Уп I бр.16-1289/17"	ДПТУ "ВИНЕКС"	(41.8647339, 21.9420506)	41.8647339	21.9420506
Скопје	08-5758/2	"СКОВИН" АД СКОПЈЕ	(41.9961816, 21.4319213)	41.9961816	21.4319213
Скопје	"08-5478/2 промена Уп I бр.16-1647/16"	ДПТ" КАРТАЛ ВИНО"експорт-импорт ДООЕЛ	(46.3144754, 11.0480288)	46.3144754	11.0480288
Скопје	08-9608/2	"БОРД-ЛАЈФ" ДООЕЛ	(46.3144754, 11.0480288)	46.3144754	11.0480288
Скопје	08-5946/3	ТД "ДИВИНО" ДОО	(46.3144754, 11.0480288)	46.3144754	11.0480288
Скопје	29-368/2	ТДГМ "МИКЕИ -ИНТЕРНАЦИОНАЛ" ДООЕЛ	(46.3144754, 11.0480288)	46.3144754	11.0480288
Скопје	29-5553/2	ДППУ "БРУШАНИ" експорт импорт ДОО Скопје	(46.3144754, 11.0480288)	46.3144754	11.0480288
Скопје	29-17900/2	"ДЗПТУ ""ВИНАРИЈА БРЗАНОВ"" ДОО увоз-извоз Скопје"	(46.3144754, 11.0480288)	46.3144754	11.0480288
Скопје	29-6038/2	ДПТУ "ВИНАР" ДОО Скопје	(46.3144754, 11.0480288)	46.3144754	11.0480288
